id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15570087.0,Chigozie,571.0,Germany,Female,42.0,4.0,127290.61,1.0,1.0,1.0,25669.1,0.0
1,15809837.0,Chubb,558.0,France,Male,38.0,2.0,0.0,1.0,1.0,1.0,138849.06,0.0
2,15766776.0,Ch'ien,644.0,France,Female,44.0,3.0,0.0,1.0,1.0,0.0,121408.46,1.0
3,15649536.0,Chikelu,714.0,France,Female,27.0,6.0,0.0,2.0,1.0,0.0,121151.1,0.0
4,15637644.0,Cremonesi,676.0,Spain,Female,33.0,8.0,0.0,2.0,0.0,1.0,170392.59,0.0
5,15662908.0,Y?,561.0,France,Male,30.0,1.0,0.0,2.0,1.0,0.0,44335.54,0.0
6,15773852.0,Oluchukwu,645.0,France,Female,41.0,1.0,0.0,1.0,1.0,0.0,81452.29,1.0
7,15747534.0,Chinomso,607.0,France,Female,34.0,10.0,0.0,2.0,1.0,0.0,111342.66,0.0
8,15757895.0,DeRose,687.0,France,Female,35.0,5.0,99610.92,1.0,1.0,1.0,107815.31,0.0
9,15592578.0,Walker,642.0,Germany,Female,42.0,3.0,104015.54,1.0,1.0,0.0,159334.93,1.0
10,15783629.0,Rizzo,678.0,France,Male,38.0,9.0,0.0,2.0,0.0,0.0,179631.85,0.0
11,15716155.0,Ch'ien,570.0,France,Female,37.0,8.0,141359.37,1.0,1.0,0.0,54726.43,0.0
12,15774328.0,Kao,498.0,Germany,Female,41.0,8.0,136416.82,2.0,1.0,1.0,80593.41,0.0
13,15758031.0,Chinedum,651.0,Spain,Female,35.0,4.0,0.0,2.0,0.0,0.0,184474.72,0.0
14,15614168.0,Onio,684.0,Germany,Female,50.0,3.0,137262.71,1.0,1.0,1.0,141533.19,1.0
15,15791988.0,Kistler,686.0,France,Female,47.0,3.0,131778.66,1.0,1.0,0.0,121277.78,0.0
16,15604818.0,Eluemuno,637.0,France,Male,34.0,8.0,0.0,2.0,1.0,0.0,4035.46,0.0
17,15591822.0,Ruggiero,721.0,Spain,Male,28.0,9.0,0.0,2.0,1.0,1.0,145796.49,0.0
18,15691483.0,Teng,706.0,France,Female,33.0,1.0,125437.36,1.0,1.0,0.0,181208.47,0.0
19,15760294.0,T'ien,506.0,Germany,Female,48.0,5.0,125540.05,1.0,1.0,0.0,16081.62,1.0
20,15574071.0,Ch'ien,717.0,France,Female,25.0,1.0,0.0,1.0,1.0,1.0,161854.98,0.0
21,15788189.0,Chibueze,596.0,France,Female,33.0,7.0,0.0,2.0,1.0,0.0,161388.22,0.0
22,15694566.0,Chiganu,625.0,Spain,Male,35.0,1.0,0.0,2.0,0.0,0.0,167573.06,0.0
23,15658364.0,Palerma,597.0,Spain,Male,38.0,1.0,0.0,1.0,1.0,1.0,11543.89,0.0
24,15686885.0,MacDevitt,567.0,France,Male,32.0,3.0,0.0,2.0,1.0,0.0,95655.16,0.0
25,15614893.0,Ts'ao,633.0,France,Female,37.0,5.0,0.0,2.0,1.0,1.0,76637.38,0.0
26,15592000.0,Lucchese,607.0,France,Female,54.0,3.0,142400.77,2.0,0.0,1.0,136902.01,1.0
27,15716134.0,Onio,576.0,France,Female,49.0,2.0,0.0,1.0,0.0,1.0,172810.51,0.0
28,15747174.0,T'ien,673.0,France,Female,47.0,7.0,0.0,2.0,1.0,1.0,140136.1,0.0
29,15742879.0,Uwaezuoke,543.0,France,Male,20.0,3.0,0.0,2.0,1.0,1.0,106841.12,0.0
30,15738605.0,Chia,577.0,France,Male,37.0,8.0,0.0,1.0,1.0,0.0,103760.53,1.0
31,15646784.0,Yeh,635.0,Spain,Female,36.0,2.0,0.0,2.0,0.0,0.0,735.79,0.0
32,15788151.0,Hs?,727.0,France,Male,32.0,7.0,0.0,2.0,1.0,1.0,172668.39,0.0
33,15762573.0,Mazzanti,573.0,France,Male,36.0,1.0,133628.09,1.0,1.0,0.0,69428.79,0.0
34,15605673.0,Toscani,695.0,Germany,Female,41.0,6.0,79896.0,1.0,1.0,0.0,186489.95,0.0
35,15661528.0,Yuriev,705.0,France,Male,31.0,6.0,0.0,2.0,0.0,0.0,105818.51,0.0
36,15677243.0,Chiekwugo,662.0,Spain,Male,23.0,1.0,0.0,2.0,1.0,0.0,58883.91,0.0
37,15642093.0,Hsiung,545.0,France,Male,43.0,9.0,0.0,2.0,1.0,1.0,94949.85,0.0
38,15589969.0,Kambinachi,679.0,Germany,Female,26.0,10.0,73088.06,1.0,1.0,1.0,120531.31,0.0
39,15751593.0,Ch'iu,537.0,France,Female,32.0,7.0,0.0,2.0,1.0,0.0,27011.8,0.0
40,15745354.0,Henty,573.0,Spain,Male,37.0,7.0,0.0,2.0,1.0,1.0,5791.85,0.0
41,15690182.0,Davison,751.0,Germany,Male,29.0,5.0,144773.29,1.0,1.0,1.0,94499.06,0.0
42,15640078.0,Tien,743.0,France,Female,42.0,5.0,0.0,2.0,1.0,1.0,114442.66,0.0
43,15570271.0,Scott,739.0,Spain,Female,50.0,5.0,71240.3,1.0,1.0,0.0,91094.46,0.0
44,15585580.0,Ch'eng,585.0,France,Female,42.0,5.0,59568.57,1.0,1.0,0.0,61843.73,1.0
45,15662758.0,Chiemenam,713.0,France,Male,21.0,4.0,0.0,2.0,0.0,0.0,169469.3,0.0
